instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_1121_n66_m3.gml;66;195;0.090909;2;29;5.9091;0.17116;4;2.3847566574839303;2;4;0.5292196726234236;0.022210081585081587;0.33500209115307444;0.4193264267977414;0.6435643564356436;4;-0.10626057529610854;0.17116036465566245;0.14423076923076922;8.733788728022688;1.3575642173872136;130;
ba_1122_n139_m2.gml;139;296;0.030862;2;32;4.259;0.064636;6;3.171885513172196;3;6;0.5943856853448878;0.01602095029783853;0.33637411879958173;0.3186589396201643;0.5018181818181818;3;-0.08687849713507961;0.06463645616718744;0.06496062992125984;8.046678169814454;0.6458787118088151;158;
ba_1124_n101_m2.gml;100;203;0.04101;2;22;4.06;0.119692;6;3.0254;4;6;0.5979966555090422;0.020979179550608126;0.26558776957584324;0.33282388172190913;0.495;3;-0.09618341365927405;0.1196919191919192;0.06834825061025224;7.081854028281489;0.6323733982217835;104;
ba_1128_n142_m3.gml;141;482;0.048835;2;37;6.8369;0.149959;5;2.629042804687893;3;5;0.3823214743813774;0.011854832243627591;0.1515744623792612;0.38308263007623844;0.546875;6;-0.06076103728568577;0.14995885754369076;0.12159911160466408;12.196465275317994;1.5044057253096692;342;
ba_1131_n126_m2.gml;125;249;0.032129;2;25;3.984;0.090639;6;3.19552;4;6;0.5225169853698537;0.0180592709152898;0.3104169521258582;0.31519882531058185;0.48627450980392156;3;-0.09147491396206613;0.09063912087912088;0.051759834368530024;6.975922090995346;0.6269746757183361;125;
ba_1132_n118_m3.gml;118;363;0.052586;3;24;6.1525;0.132155;5;2.6894570525711003;3;5;0.45833278925389703;0.014762447111950325;0.1334814163310989;0.3734720296411338;0.5154185022026432;4;-0.04307216597441976;0.13215531380059534;0.11125319693094629;9.81215018131273;1.4003868494459555;246;
ba_1135_n180_m2.gml;176;386;0.025065;2;45;4.3864;0.071108;6;3.1986053719008263;3;6;0.5811864023680532;0.012740707568293774;0.41401717554791045;0.31683715178496835;0.5192878338278932;3;-0.08560743223974464;0.07110789006361107;0.05578711125360693;9.025447887844374;0.6029992791072103;211;
ba_113_n149_m3.gml;149;447;0.040541;2;30;6.0;0.114597;5;2.7770821134183143;3;5;0.34757066781809537;0.012216640692191987;0.17054662894817973;0.3614381076328555;0.5138888888888888;4;-0.09993331000493963;0.11459748192719807;0.07466943220119264;9.501222260704399;1.3217641957796873;299;
ba_1141_n90_m2.gml;89;179;0.04571;2;12;4.0225;0.086107;6;3.116525691200606;4;6;0.5313074344960399;0.024734951216934947;0.14815492247012593;0.32176811582396037;0.4292682926829268;3;-0.0950838419923339;0.0861074630737552;0.0798611111111111;6.076392302981844;0.5987668101216966;91;
ba_1144_n90_m1.gml;16;26;0.216667;2;7;3.25;0.106845;4;2.046875;3;4;0.49607837082461076;0.08452380952380953;0.29460317460317464;0.46739248460976407;0.5769230769230769;2;-0.2979719188767562;0.10684523809523809;0.15584415584415584;3.953149511876674;0.5565550345800993;11;
ba_1145_n199_m3.gml;198;611;0.031329;2;33;6.1717;0.083824;5;2.9051627384960717;3;5;0.46773784971009486;0.009795457946291884;0.13115357276695638;0.3461420271059592;0.48641975308641977;4;-0.052129594109791004;0.08382410665771378;0.06613226452905811;10.159503633664947;1.1966633209552142;414;
ba_1148_n170_m3.gml;169;581;0.040927;2;37;6.8757;0.111661;5;2.7057876124785545;3;5;0.35591605306088914;0.010310739467809945;0.12953962039346764;0.3719385825208651;0.5137614678899083;5;-0.06878294425679332;0.11166083344799087;0.0930776426566885;11.995404808309264;1.3840162478867089;413;
ba_114_n125_m3.gml;125;366;0.047226;2;26;5.856;0.10122;5;2.769408;3;5;0.36450514399662465;0.014567007605559928;0.16424514830275072;0.36217337123096977;0.5145228215767634;4;-0.03895815938436752;0.10122032162539903;0.09075104311543811;9.105481299465929;1.1808348308528653;242;
ba_1156_n189_m3.gml;188;566;0.032199;2;35;6.0213;0.070472;5;2.87154821186057;3;5;0.41947147110941224;0.010144645616404671;0.16058121142444545;0.35013007282771785;0.4895287958115183;4;-0.09127666883826561;0.0704720280789367;0.057027649769585256;10.134901292558624;1.1301729754270664;379;
ba_1164_n199_m3.gml;199;636;0.032283;2;42;6.392;0.086283;5;2.82710032574935;3;5;0.4298759277979743;0.009347099544278332;0.16631558926774095;0.35597087706380887;0.5196850393700787;4;-0.09485084570955786;0.08628282158259043;0.07332433648223122;11.394918130297794;1.2551208899981212;438;
ba_1165_n146_m2.gml;143;313;0.030828;2;26;4.3776;0.102112;6;3.0664580175069687;3;6;0.5360494516569734;0.014808885051618046;0.19653915388065238;0.32905812505185494;0.4879725085910653;3;-0.10976918928505497;0.10211152623263732;0.07456503728251865;8.613149172518835;0.6914504660737936;171;
ba_1166_n133_m3.gml;133;426;0.04853;2;30;6.406;0.130414;5;2.721917575894624;3;5;0.3455376027992799;0.013301818042677827;0.1565241569292955;0.3693147908674347;0.515625;5;-0.011965101397122506;0.13041399003079787;0.11059190031152648;10.466562320155761;1.3193600366926963;294;
