instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_5831_n127_m1.gml;35;55;0.092437;2;11;3.1429;0.101371;5;2.7885714285714287;3;5;0.5742786069211937;0.05668449197860962;0.4498217468805704;0.3565264333803055;0.5396825396825397;3;-0.1228626179245287;0.10137085137085138;0.11170212765957446;4.6077684940734525;0.3552236820995792;21;
ba_5838_n89_m3.gml;89;276;0.07048;3;25;6.2022;0.12174;4;2.5082691579346044;3;4;0.40167557149931404;0.017664048466063193;0.1862447250369927;0.39828398752849403;0.5365853658536586;4;-0.12109347131465784;0.12173954339241151;0.09799346710219319;8.6737636584146;1.52198777402461;188;
ba_583_n90_m3.gml;90;279;0.069663;3;33;6.2;0.262487;4;2.4671604938271603;3;4;0.4714045207910317;0.016987288616502103;0.2160176288076091;0.40711407129517097;0.5894039735099338;5;-0.12308615233022323;0.26248661816290564;0.17374517374517376;10.790661604205082;1.3122729189657714;190;
ba_5849_n129_m3.gml;129;417;0.050509;2;29;6.4651;0.101195;5;2.6653446307313264;3;5;0.36574034456078913;0.013276910516999328;0.13506515552051745;0.3769087076897252;0.5245901639344263;4;-0.04601712606734584;0.10119548674669199;0.08378088077336197;10.034950902841565;1.298954690573223;289;
ba_5851_n118_m1.gml;26;36;0.110769;2;7;2.7692;0.021795;6;2.837278106508876;4;6;0.6617173282340482;0.08128205128205129;0.4167777777777777;0.34573881329226536;0.4807692307692308;2;-0.17640542785931887;0.021794871794871794;0.03529411764705882;3.415423923639391;0.322844158859867;11;
ba_5872_n108_m2.gml;104;232;0.043316;2;27;4.4615;0.107312;5;2.8907174556213016;3;5;0.5166424089234495;0.018811594839578852;0.317682343924911;0.34756268585257016;0.5364583333333334;3;-0.11391252901287925;0.10731187297482844;0.07607282184655396;7.512445904377531;0.7597845770677327;129;
ba_5880_n118_m3.gml;118;360;0.052151;2;33;6.1017;0.17575;5;2.6307095662166042;3;5;0.4423858690216336;0.0142516746841703;0.20876535304967683;0.3819184668096754;0.5598086124401914;4;-0.13038906159515976;0.17575041279444373;0.09425981873111783;9.76999518937148;1.1490460762763621;243;
ba_5892_n140_m3.gml;140;423;0.043474;3;38;6.0429;0.116926;5;2.7143877551020408;3;5;0.3736199094463435;0.01256460669973338;0.23168824393550028;0.3702193326055848;0.5450980392156862;4;-0.1134646416012784;0.11692610237505244;0.08322728429625859;10.031958812826293;1.2875098587024907;284;
ba_5895_n108_m2.gml;108;230;0.039806;2;20;4.2593;0.099494;6;3.0569272976680386;3;6;0.5707790743489793;0.019674497279857886;0.2174063925931807;0.32945489406750644;0.4692982456140351;3;-0.09145403625346041;0.09949395687699782;0.07332854061826025;7.116282152872609;0.6477195566875675;123;
ba_5911_n118_m3.gml;118;396;0.057366;3;37;6.7119;0.126613;4;2.5287273771904624;3;4;0.47616260297898794;0.013365003721520377;0.19106705366348953;0.39738995645070563;0.5679611650485437;5;-0.1010156694191566;0.12661349231151975;0.12030776404756353;11.573370688838867;1.5448898037802914;279;
ba_5917_n63_m3.gml;63;180;0.092166;2;23;5.7143;0.184687;4;2.36130007558579;3;4;0.4892392065848394;0.02294074689632595;0.24960457445213335;0.42256246342357384;0.5904761904761905;4;-0.20164414063664818;0.1846869916958822;0.1253541076487252;8.345365841022044;1.3803286935241152;118;
ba_593_n145_m2.gml;142;303;0.030267;2;24;4.2676;0.079479;6;3.253124380083317;4;6;0.6126355822797618;0.016258544172838448;0.2024739074910595;0.3106113541671372;0.4533762057877814;3;-0.06179946184651504;0.07947948860707009;0.062467464862051014;7.704613968517138;0.5986341351214878;162;
ba_5943_n178_m1.gml;43;61;0.067553;2;9;2.8372;0.038963;7;3.4689021092482424;5;7;0.7470873676376284;0.062231585771007215;0.3169800711612559;0.28796673160974395;0.3853211009174312;2;-0.13073170731707337;0.03896271686969362;0.038461538461538464;3.771144654813764;0.21795082489883105;19;
ba_5947_n115_m2.gml;115;242;0.036918;2;21;4.2087;0.139192;6;3.0229111531190926;3;6;0.608447154244727;0.01813653024442599;0.2138866103619739;0.3337401128375384;0.4892703862660944;3;-0.08133736477088564;0.13919155596501134;0.07904191616766468;7.845145441938152;0.6189582464887523;128;
ba_5954_n59_m3.gml;59;183;0.106955;3;20;6.2034;0.212608;4;2.272910083309394;3;4;0.4604433121086822;0.023019266459544545;0.1784507332321467;0.43774194620398843;0.58;4;-0.18861549838888655;0.21260792695960876;0.15083798882681565;8.509444255714541;1.6512791849718842;125;
